,country,city,lat,lon,date,cloudiness,humidity,max_temp,wind_speed
390,PH,balabac,7.9868,117.0645,1643499334,56,76,80.33,0.76
391,RU,vilyuysk,63.7553,121.6247,1643499335,92,100,-20.09,4.97
392,EC,vinces,-1.55,-79.7333,1643499335,100,91,82.29,4.72
393,RU,chegdomyn,51.1167,133.0167,1643499336,84,98,-25.67,0.13
394,PT,praia da vitoria,38.7333,-27.0667,1643499336,75,82,59.25,11.63
395,ZM,chinsali,-10.5414,32.0816,1643499336,99,97,63.9,2.57
396,US,altus,34.6381,-99.334,1643499336,0,13,68.07,8.05
397,LR,gbarnga,6.9956,-9.4722,1643499337,86,94,71.24,2.68
398,RU,beringovskiy,63.05,179.3167,1643499337,93,100,-8.95,2.35
399,AR,olavarria,-36.8927,-60.3225,1643499337,78,76,67.78,7.47
400,RU,novobirilyussy,56.9514,90.6661,1643499338,91,97,1.99,3.69
401,US,fairfield,41.2668,-73.3162,1643499338,100,60,20.07,3.0
402,ZA,giyani,-23.3025,30.7187,1643499338,88,89,69.39,9.71
403,PF,faanui,-16.4833,-151.75,1643499399,18,71,80.76,8.19
404,RU,severomuysk,56.1481,113.4267,1643499399,35,97,-20.78,3.6
405,MM,mawlaik,23.6333,94.4167,1643499399,0,72,49.89,0.85
406,CN,zhoucheng,35.9122,116.3117,1643499400,3,49,30.54,1.9
407,MM,magway,20.15,94.9167,1643499400,1,51,56.43,2.35
408,BR,cacu,-18.5567,-51.1308,1643499401,100,94,71.49,5.01
409,AU,howard springs,-12.497,131.047,1643499401,78,82,77.83,15.66
410,NZ,te anau,-45.4167,167.7167,1643499401,100,94,57.36,0.27
411,RU,strezhevoy,60.7333,77.5889,1643499402,100,97,-2.02,5.82
412,ID,atambua,-9.1061,124.8925,1643499402,100,88,76.19,6.38
413,IT,civitavecchia,42.0933,11.7967,1643499402,39,73,44.6,6.26
414,ID,sungaipenuh,-2.0833,101.3833,1643499403,96,96,64.87,2.3
415,NZ,waiouru,-39.4833,175.6667,1643499403,0,27,73.78,5.7
416,PE,chota,-6.55,-78.65,1643499403,77,93,59.7,6.33
417,AF,zabol,32.25,67.25,1643499404,100,62,36.01,5.12
418,AU,dubbo,-32.25,148.6167,1643499404,40,65,80.73,10.36
419,US,waggaman,29.9185,-90.2109,1643499404,0,23,51.91,1.99
420,IS,grindavik,63.8424,-22.4338,1643499404,75,80,36.07,14.97
421,PH,san policarpo,12.1791,125.5072,1643499405,37,90,78.44,4.59
422,ZW,kwekwe,-18.9281,29.8149,1643499405,94,93,67.73,9.48
423,GF,kourou,5.1552,-52.6478,1643499406,70,89,79.11,6.85
424,PH,lubao,14.9167,120.55,1643499406,12,75,80.67,3.44
425,NO,karasjok,69.4719,25.5112,1643499406,57,100,3.31,1.5
426,ZW,hwange,-18.3693,26.5019,1643499407,98,98,68.65,2.55
427,ID,maumere,-8.6199,122.2111,1643499407,100,81,81.01,3.69
428,US,bethel,41.3712,-73.414,1643499407,100,60,19.29,1.01
429,PG,kieta,-6.2167,155.6333,1643499408,100,87,79.95,8.08
430,ID,metro,-5.1131,105.3067,1643499408,100,89,76.14,1.95
431,MU,mahebourg,-20.4081,57.7,1643499408,40,78,79.09,6.91
432,PF,tautira,-17.7333,-149.15,1643499409,80,74,86.02,11.27
433,RU,belomorsk,64.5232,34.7668,1643499409,100,82,19.56,11.65
434,RU,smolenka,52.1352,113.4974,1643499409,62,75,-29.13,0.0
435,FO,vestmanna,62.1564,-7.1664,1643499409,100,60,32.92,14.97
436,BR,bonfim,3.0833,-59.95,1643499410,65,46,83.88,9.06
437,CN,bayan,46.0833,127.4,1643499410,100,96,-1.5,4.41
438,RU,kostomuksha,64.571,30.5767,1643499410,100,94,22.46,9.53
439,RU,bilibino,68.0546,166.4372,1643499411,100,87,-0.47,2.55
440,GY,lethem,3.3803,-59.7968,1643499411,64,44,83.86,11.59
441,RU,kadaya,50.9327,119.2911,1643499411,15,99,-25.11,2.24
442,CL,talcahuano,-36.7167,-73.1167,1643499412,100,72,62.28,10.36
443,IT,agropoli,40.3469,14.9966,1643499412,6,66,47.28,6.04
444,NC,koumac,-20.5667,164.2833,1643499413,64,72,83.64,6.49
445,RO,asau,46.4333,26.4,1643499413,90,78,31.12,8.97
446,NA,gobabis,-22.45,18.9667,1643499413,95,68,70.84,13.2
447,SN,ndioum,16.5129,-14.6471,1643499414,100,18,80.49,13.96
448,LR,zwedru,6.0667,-8.1281,1643499414,71,88,73.31,3.24
449,IT,lipari,38.4674,14.954,1643499414,2,48,50.34,15.1
450,US,salinas,36.6777,-121.6555,1643499242,0,38,69.89,4.61
451,SB,gizo,-8.103,156.8419,1643499415,98,75,83.68,9.31
452,RU,ust-koksa,50.2696,85.6108,1643499475,39,85,-5.04,1.28
453,US,weatherford,32.7593,-97.7972,1643499277,0,20,66.96,8.59
454,RU,kondinskoye,59.6481,67.41,1643499476,100,97,5.85,5.3
455,IN,kharod,21.75,82.5667,1643499476,0,39,51.57,3.91
456,NU,alofi,-19.0595,-169.9187,1643499476,85,70,85.89,6.91
457,IN,bela,25.9333,81.9833,1643499477,0,71,48.51,7.94
458,BR,guapore,-28.8456,-51.8903,1643499477,88,84,68.38,1.7
459,RU,lukovetskiy,64.2956,41.9211,1643499477,100,96,17.58,6.62
460,ID,labuhan,-6.8844,112.2051,1643499478,100,83,79.54,5.73
461,US,portland,45.5234,-122.6762,1643498830,75,52,55.06,1.99
462,PK,bahawalpur,29.4,71.6833,1643499478,14,29,54.73,6.17
463,JP,hasaki,35.7333,140.8333,1643499478,67,55,37.29,19.89
464,RU,nyurba,63.2842,118.3319,1643499479,89,99,-22.7,4.74
465,JP,tateyama,34.9833,139.8667,1643499479,74,68,44.87,15.9
466,CN,ankang,32.68,109.0172,1643499479,45,79,34.02,2.46
467,IT,terrasini,38.146,13.0844,1643499480,0,62,53.17,12.66
468,ES,aguimes,27.9054,-15.4461,1643499480,0,42,59.67,10.36
469,PG,vanimo,-2.6741,141.3028,1643499480,100,86,78.08,6.78
